T,TM,Tm,SLP,H,VV,V,VM,PM 2.5
13.2,18.2,9.2,1021,92,0.8,7.6,11.1,284.79583333333335
11.1,18.3,5,1020.2,80,1.1,8,14.8,219.72083333333333
12.7,19.8,5.2,1017.9,78,1.3,5.4,14.8,182.1875
11.9,20.7,4.4,1017.9,78,0.8,1.9,7.6,223.20833333333334
11.7,20.7,6.5,1017.3,89,0.3,0.9,7.6,200.64583333333337
13.9,21.6,7,1019.6,74,0.8,1.1,9.4,285.22499999999997
14.9,22.1,8.9,1017.2,78,1,2.8,7.6,236.82499999999996
12,22.1,9.6,1019.7,95,0.3,0.4,3.5,276.90833333333336
14.5,21,8.6,1023.2,88,1.3,3.5,7.6,108.0
14.6,22.3,9,1021.2,86,1,4.4,9.4,107.625
13.4,22.3,11.5,1020.6,98,1.4,6.9,13,125.89166666666667
11.7,18.2,9.4,1019.9,96,0.5,8.3,11.1,181.01250000000005
14.3,20.3,9.9,1019.1,88,0.6,8.9,14.8,152.55416666666667
16.6,24,10.1,1018.8,75,1.3,10,14.8,152.32083333333335
14.8,21.1,10,1019.3,86,0.5,3,11.1,319.7375
13.9,21.1,10.8,1019.8,83,0.8,2.6,7.6,332.7083333333333
15.3,24.4,6.8,1016.9,79,0.6,1.9,7.6,279.59999999999997
18.6,27.8,8.9,1014.4,65,1.3,5.6,57.6,179.11666666666667
19.7,26.4,15.1,1009.3,72,1.6,15,29.4,54.791666666666664
13.8,26.4,9.6,1011.3,88,1,8.1,14.8,93.375
12.7,19.5,7,1012,66,1.4,9.3,25.9,103.0
15.3,22.6,5.6,1013.6,67,1.6,4.8,11.1,132.20833333333334
13.1,22.6,11,1011.8,97,1.1,5.4,11.1,127.70833333333333
12.6,17.7,9.2,1012.6,91,0.6,3.9,7.6,109.33333333333333
15.1,23.3,7.1,1016.7,77,0.8,1.9,7.6,56.458333333333336
16.1,24.5,8.2,1014.8,80,0.6,1.9,9.4,135.83333333333334
17.2,24.6,9,1014.2,75,1.4,8.9,14.8,122.5
17.9,25.2,10.3,1017.4,70,1.1,0.9,7.6,69.66666666666667
18.9,26.2,12.5,1014.4,72,1.3,2.4,9.4,79.83333333333333
18.6,25.3,13,1013.3,80,1.1,7.2,22.2,62.708333333333336
16.3,21.3,12,1015.1,90,1.1,4.3,13,21.208333333333332
16.1,21.8,10,1017.1,82,1.3,5.7,11.1,1.9166666666666667
17.8,25.7,10.5,1016.3,67,2.1,3.7,11.1,1.8333333333333333
18.4,25.9,11,1017,65,2.3,6.7,14.8,105.83333333333333
19.8,27.1,12.8,1017.2,66,2.6,9.8,24.1,117.58333333333333
22.3,29,14,1014.6,61,2.3,5,13,122.70833333333333
18.9,27.1,12.8,1016.1,65,2.6,9.8,18.3,111.95833333333333
19.7,27.6,12,1015.2,66,1.9,5.7,13,59.208333333333336
21.4,29.7,12.6,1016.4,65,1.4,2.8,9.4,77.20833333333333
21.7,28.4,16.2,1013.1,61,2.3,10.2,22.2,98.70833333333333
21.5,29.2,15,1010.8,59,2.6,7.4,18.3,123.70833333333333
22.4,32.5,14.5,1007.2,68,2.1,5.4,11.1,64.79166666666667
24.6,32.7,16.5,1010.6,64,1.8,2.8,11.1,52.333333333333336
25.2,32.7,19.1,1010.7,64,1.9,2.8,11.1,52.041666666666664
23.4,29.1,19.6,1011.7,69,1.9,4.8,9.4,128.33333333333334
24.2,30.8,17,1008.2,48,1.9,13.1,22.2,0.0
24.9,33.2,16.8,1006.2,49,2.6,9.6,25.9,23.208333333333332
26.8,35.2,17.7,1005.7,50,1.9,7.2,14.8,15.166666666666666
25.1,35.2,18,1010.4,53,2.1,10.4,25.9,21.25
27.2,38,21,1009.7,55,1.9,13,18.3,81.83333333333333
25.8,32.2,19.5,1010.3,49,2.6,12.6,18.3,105.33333333333333
25.7,32.8,17.5,1010.3,41,2.6,12.8,25.9,117.75
27,37.2,22.6,1009.8,49,1.9,15.6,27.8,84.5
27.7,34.5,21.5,1010.6,55,1.9,5.2,13,46.916666666666664
