T,TM,Tm,SLP,H,VV,V,VM,PM 2.5
29.9,35.2,26.5,1008.3,79,2.3,1.9,9.4,284.7958333
30.7,35,26.2,1006.1,73,3.1,5.2,11.1,219.7208333
30.3,36.4,26.4,1007.4,70,3.1,3.1,7.6,182.1875
10.8,12.8,8,1018.3,92,0.2,3.7,7.6,223.2083333
11.9,17.8,9,1017.7,81,0.8,3.5,7.6,200.6458333
11.7,16.2,8.1,1019.4,83,0.5,0.9,7.6,285.225
11.8,17.1,8,1023,84,0.5,6.7,11.1,236.825
11.8,17.5,7.7,1023.2,82,0.6,5.4,11.1,276.9083333
12.5,19.8,8.4,1019.3,79,0.6,1.3,3.5,108
11.6,18.6,6.6,1021,88,0.2,0.7,3.5,107.625
11.8,20,7.2,1019.3,82,0.3,1.5,5.4,125.8916667
16.3,24,10.7,1017.7,78,0.8,0.9,5.4,181.0125
14.7,22.8,9.4,1018.6,83,0.5,3.1,9.4,152.5541667
16.2,24.5,9.8,1017.7,77,1,2.6,9.4,152.3208333
15.1,23,8.5,1017.1,62,8.4,6.7,14.8,319.7375
14.9,23.6,7.3,1016.9,67,0.8,1.1,9.4,332.7083333
15.1,23.6,7.9,1016.7,66,1.3,2.6,11.1,279.6
15.2,23.5,8.7,1017.1,59,1.6,7.6,22.2,179.1166667
19.6,30.1,16,1010.8,78,1,11.3,27.8,93.375
16.4,23,12.2,1011.3,82,1.4,8.7,22.2,103
17.8,23.6,11.6,1015.8,78,1.1,1.9,5.4,132.2083333
15.8,23.6,10.1,1014.4,71,1.4,3.5,11.1,127.7083333
15.6,21.2,10.3,1014.5,79,1.3,1.5,5.4,109.3333333
16.1,24,8.6,1016.3,61,2.6,4.3,11.1,56.45833333
17.4,25.5,9.7,1016,60,1.4,5,18.3,135.8333333
19.6,27.8,11.7,1014.4,56,1.9,8.7,22.2,122.5
20.4,27.7,14.6,1012.5,70,1.9,7.4,22.2,69.66666667
21.8,30.4,14.7,1012.9,60,2.1,8.5,22.2,79.83333333
23.3,31.5,15.2,1011.3,58,2.6,4.6,14.8,62.70833333
24.8,33,19.2,1011.1,58,2.3,3.1,11.1,21.20833333
24.1,32,17.5,1010.3,53,2.3,6.5,20.6,1.916666667
24.4,31.5,18,1007.5,53,2.3,3.7,11.1,1.833333333
22.3,27.8,18.6,1013.9,64,2.6,10.2,22.2,105.8333333
20.4,26.6,14.3,1014.8,71,2.6,9.3,25.9,117.5833333
21.4,28.7,14.5,1016.1,64,2.3,5.6,14.8,122.7083333
24.1,32,17,1011.7,61,2.3,5.6,14.8,111.9583333
24.6,32.5,17.6,1008.6,60,1.9,6.5,18.3,59.20833333
23.3,32.8,17.8,1009.7,66,2.6,3.7,11.1,77.20833333
26.3,34.6,19.8,1012.4,55,2.1,7.6,22.2,98.70833333
27.5,36.1,18.8,1010.2,52,1.9,3,14.8,123.7083333
29.1,39.2,19.5,1006.6,46,1.9,3.9,18.3,64.79166667
28.8,36.1,20.5,1004.5,49,1.8,1.5,7.6,52.33333333
29.6,38.7,21,1005,44,1.9,2.8,9.4,52.04166667
29.9,38.2,23.1,1006.4,41,1.9,4.1,18.3,128.3333333
30.3,38.2,23,1003,38,1.9,2.4,7.6,0
29.8,38.2,21.6,1003.5,38,1.9,4.3,9.4,23.20833333
30.2,38,20.7,1005.7,35,2.6,3.7,11.1,15.16666667
30.6,38.7,23.1,1007.5,35,1.9,1.7,9.4,21.25
30.2,38.8,19.6,1009.7,28,2.6,9.3,29.4,81.83333333
31.3,39,20.8,1010.2,30,1.9,2.8,7.6,105.3333333
31.3,40.1,21.6,1004.7,32,1.9,7.4,22.2,117.75
33,39.8,25.4,1004,27,2.6,8.9,29.4,84.5
32.7,41.2,24.1,1004.6,29,2.7,9.8,25.9,46.91666667
32.9,42.3,23.6,1006.1,31,2.7,4.6,11.1,104.625
32.7,39.2,26.5,1005.5,25,1.9,7.8,22.2,75.58333333
32.3,39.4,23.7,1004.5,27,2.6,5.7,14.8,106.9583333
32.3,39.7,24.7,1003.8,31,2.3,2.8,11.1,120.875
33.2,41.4,26.4,1004.9,41,1.9,4.8,22.2,0
34.1,41.7,28,1005.3,32,2.1,8.3,33.5,38.5
32.1,41.7,26.8,1006.5,39,1.8,9.6,25.9,94.75
30.8,36.7,23.6,1005.1,45,1.9,1.9,5.4,142.5
32.3,38.5,26.2,1002.5,41,1.9,6.7,14.8,133.375
29.7,35.6,25.6,1002.8,56,1.9,7,18.3,147.8333333
30.9,38.3,23.6,1003.3,47,1.9,1.1,5.4,158.2916667
33.4,39,27.5,1000.4,34,1.9,11.5,22.2,149.5833333
37,44.4,25.9,999,22,2.3,7.6,18.3,101.5
35.4,43.2,30.2,999.6,29,2.3,13.3,70.2,106.5
36.1,43.3,30,999.8,30,1.9,1.9,9.4,128.125
35.9,41.6,30.6,1000.7,33,1.9,5.6,18.3,101.9583333
35.6,41.8,28.7,999.5,24,2.7,9.4,25.9,98.41666667
34.4,42.6,25,999.5,26,2.7,4.8,14.8,94.375
37,44.6,29.6,993.8,34,1.9,5.6,11.1,107.625
37.2,45.2,28.8,993,27,1.9,6.3,22.2,110.4166667
37.3,43.8,30.3,993.8,42,1.8,11.5,25.9,95.83333333
35.1,42.5,26.1,999.6,27,1.9,7.2,20.6,72.25
37.5,44.1,28,999.8,25,1.9,15.2,29.4,38.66666667
38.6,44.1,34.2,1001.4,28,1.4,15.2,27.8,45.375
34.9,41.2,29.6,1002.3,37,1.4,23.7,29.4,65.16666667
28.9,33,27,999.6,51,2.1,4.6,14.8,66.08333333
25,26.9,22.1,1002.4,76,1.6,7.4,14.8,77.66666667
31,36.3,23.4,1002.1,47,1.8,13,29.4,70.25
33.5,43,28.1,998.9,42,1.9,10.9,18.3,56.29166667
33.4,39.7,26.1,999.4,46,1.9,8,22.2,77
34.7,40.6,27.8,998.7,38,1.9,6.1,22.2,32.95833333
36.1,43.2,27.8,998.5,48,2.6,3,11.1,80.625
38.3,44.8,29.8,997.4,40,1.9,3.9,9.4,90.70833333
37.5,44.1,31.1,995.7,47,2.3,5,9.4,97.29166667
31.8,36.5,27.4,997.4,58,1.9,3,9.4,50.70833333
35.2,41.6,28.6,996.5,45,1.9,3.7,7.6,40.375
35.2,41.1,27.4,996.1,50,1.9,3.5,7.6,49.41666667
32.5,38.9,29.8,998.1,63,1.9,15.9,33.5,61.875
34.3,39.4,27.7,998.8,58,1.9,2.2,5.4,0
34.6,38.9,30.6,999.8,60,1.9,9.8,16.5,29.66666667
29.9,37.1,26,1003.4,81,1.6,6.9,27.8,49.125
31.6,37.1,25.2,1003.3,74,1.9,2.6,7.6,43.66666667
33.7,37.4,28.8,999.8,69,1.9,2.8,9.4,29.83333333
30.6,34.8,23.2,1000.6,71,1.9,2.2,11.1,35.20833333
33.3,36.8,28.8,1000.9,62,1.9,4.8,11.1,37.625
32.9,36.6,29.5,1000.3,69,1.8,2,11.1,41.45833333
30.4,37.8,27.8,996.8,78,1.9,9.8,22.2,38.58333333
27.4,34.1,25.6,998.8,93,1.6,1.5,7.6,36
29.9,33.5,26,998.4,81,1.9,4.3,9.4,70.58333333
31.2,34.9,28,995.1,78,1.9,6.7,14.8,33.16666667
32.9,36.4,28.7,995.9,66,2.9,19.3,27.8,38.25
27.8,29.2,26.4,1000.1,88,1.9,20.6,29.4,26.58333333
26.3,29.6,24.4,1001.3,94,1.3,1.5,5.4,15.41666667
28.3,32.8,25.2,1001.1,84,1.6,0.9,5.4,41.375
28.7,34,25.2,999.6,84,1.9,8.5,14.8,25.54166667
29.8,34,26.8,998.2,80,1.9,14.3,22.2,28.375
31.9,35.8,28.6,1002,70,2.7,9.3,22.2,50.33333333
32.9,36.6,28.6,1000.4,69,2.3,5.9,14.8,35.375
32.9,37.6,28.4,1000,66,1.9,4.3,11.1,31.91666667
30.3,35.6,27,1001.7,80,1.9,3,9.4,35.29166667
28,33.5,26,1001.6,91,1.4,2.8,14.8,26.83333333
29.3,34.4,26.6,1002.7,86,1.9,0.7,5.4,21.125
27.3,27.8,26.4,1002.6,94,1.8,1.3,7.6,35.70833333
27.4,28.4,26.3,1004.8,97,1.4,1.9,7.6,43.58333333
27.6,28.4,26.8,1001.4,95,1.4,1.5,11.1,46.04166667
28,31.7,25.3,1002.5,86,1.9,3.1,7.6,82.875
29.2,33.9,25.6,1003.3,83,1.9,0.9,5.4,64.91666667
30.5,34.7,28,1000.7,79,1.9,4.3,9.4,34.41666667
29.6,35,27.2,1002.6,85,1.9,1.1,5.4,33.16666667
29.4,34.4,26.5,1003,85,1.9,2.8,7.6,30.625
28.4,34.4,26,1001.7,86,1.9,5,27.8,30.33333333
28.9,33,26.7,1000.6,88,1.8,3.7,11.1,0
28.2,32.2,26.2,1002.6,87,1.8,6.3,16.5,0
28.9,34,25.8,1002.9,86,1.9,3.9,16.5,0
27.9,32,24.6,1002.3,84,1.6,2,11.1,83.45833333
27.4,32.5,24.4,1003,83,1.9,1.1,7.6,71.66666667
22.9,32,21.8,1005.1,95,1.6,10.4,25.9,69.70833333
25.8,29.8,21.8,1004.1,94,1.6,4.1,14.8,62.375
26.2,29.8,24.4,1004.5,95,1.6,2.6,9.4,24.875
28.9,33,24.1,1006.9,70,1.9,9.3,18.3,43.95833333
28.2,32.6,23.2,1008.9,71,2.9,7.8,74.1,41.5
28.2,33.7,23.3,1008.7,64,1.9,0.7,5.4,30.33333333
28.6,34.4,24.6,1008.1,67,1.9,0.9,7.6,29
27.9,34.1,24.1,1005.7,77,1.1,0.7,5.4,61.70833333
27.7,33.3,23,1004.4,71,1.4,1.7,7.6,60.54166667
28.1,33.7,23,1001.7,65,1.8,2.4,9.4,41.58333333
26.9,33.6,22,1006.7,62,2.3,6.9,25.9,82.83333333
26.4,34.1,20.6,1007.6,70,1.9,2.2,7.6,95.25
28.2,33.3,23.3,1009.2,68,1.9,2.4,5.4,126.1666667
27.2,33,22.4,1008,72,1,1.9,7.6,136.7083333
27.3,32.7,23,1004.3,72,1,2,5.4,160.6666667
22.7,30.5,16.2,1010.8,63,1.8,2.8,7.6,245.6666667
22.9,30.6,16.5,1012.6,64,1.4,1.9,9.4,261.6666667
22.8,30.6,17,1013.7,58,1.1,5,14.8,272.4166667
22.3,30.6,16.8,1014.9,72,1.1,2.6,9.4,149.625
21.8,29.2,16.2,1012.4,73,0.8,2.8,9.4,99.70833333
21.9,29.7,16,1013.7,72,1,1.9,7.6,217.375
22.4,29.8,15.7,1015.2,68,1.1,1.5,5.4,309.375
22.3,31.1,16.4,1013.5,75,0.8,0.9,3.5,321.5416667
22.9,31.5,16.4,1015.2,74,1.1,0.7,5.4,278
23.4,30.6,16.7,1016.9,72,1.1,1.9,5.4,192.3333333
19.6,25.2,17.6,1011.5,89,0.6,0.6,3.5,224.1666667
22.7,29.2,17.4,1014.9,79,0.8,1.3,5.4,196.75
21.6,29.9,17.7,1015.1,78,1,1.3,9.4,221.5416667
20,27.7,15.2,1013,69,1.6,3.5,14.8,166.7083333
