T,TM,Tm,SLP,H,VV,V,VM,PM 2.5
13.8,21.9,6.6,1017.6,79.0,0.6,3.9,11.1,284.7958333333333
11.3,15.0,9.0,1020.3,94.0,0.2,1.3,3.5,219.72083333333333
12.2,15.3,9.7,1019.2,93.0,0.5,5.2,11.1,182.1875
10.8,12.8,8.0,1018.3,92.0,0.2,3.7,7.6,223.20833333333331
11.9,17.8,9.0,1017.7,81.0,0.8,3.5,7.6,200.64583333333337
11.7,16.2,8.1,1019.4,83.0,0.5,0.9,7.6,285.225
11.8,17.1,8.0,1023.0,84.0,0.5,6.7,11.1,236.825
11.8,17.5,7.7,1023.2,82.0,0.6,5.4,11.1,276.90833333333336
12.5,19.8,8.4,1019.3,79.0,0.6,1.3,3.5,108.0
11.6,18.6,6.6,1021.0,88.0,0.2,0.7,3.5,107.625
11.8,20.0,7.2,1019.3,82.0,0.3,1.5,5.4,125.89166666666668
16.3,24.0,10.7,1017.7,78.0,0.8,0.9,5.4,181.01250000000005
14.7,22.8,9.4,1018.6,83.0,0.5,3.1,9.4,152.55416666666667
16.2,24.5,9.8,1017.7,77.0,1.0,2.6,9.4,152.32083333333335
15.1,23.0,8.5,1017.1,62.0,8.4,6.7,14.8,319.7375
14.9,23.6,7.3,1016.9,67.0,0.8,1.1,9.4,332.7083333333333
15.1,23.6,7.9,1016.7,66.0,1.3,2.6,11.1,279.6
15.2,23.5,8.7,1017.1,59.0,1.6,7.6,22.2,179.11666666666667
19.6,30.1,16.0,1010.8,78.0,1.0,11.3,27.8,93.375
16.4,23.0,12.2,1011.3,82.0,1.4,8.7,22.2,103.0
17.8,23.6,11.6,1015.8,78.0,1.1,1.9,5.4,132.20833333333334
15.8,23.6,10.1,1014.4,71.0,1.4,3.5,11.1,127.70833333333331
15.6,21.2,10.3,1014.5,79.0,1.3,1.5,5.4,109.33333333333331
16.1,24.0,8.6,1016.3,61.0,2.6,4.3,11.1,56.458333333333336
17.4,25.5,9.7,1016.0,60.0,1.4,5.0,18.3,135.83333333333334
19.6,27.8,11.7,1014.4,56.0,1.9,8.7,22.2,122.5
20.4,27.7,14.6,1012.5,70.0,1.9,7.4,22.2,69.66666666666667
21.8,30.4,14.7,1012.9,60.0,2.1,8.5,22.2,79.83333333333333
23.3,31.5,15.2,1011.3,58.0,2.6,4.6,14.8,62.708333333333336
24.8,33.0,19.2,1011.1,58.0,2.3,3.1,11.1,21.20833333333333
24.1,32.0,17.5,1010.3,53.0,2.3,6.5,20.6,1.9166666666666667
24.4,31.5,18.0,1007.5,53.0,2.3,3.7,11.1,1.8333333333333333
22.3,27.8,18.6,1013.9,64.0,2.6,10.2,22.2,105.83333333333331
