T,TM,Tm,SLP,H,VV,V,VM,PM 2.5
11.5,16.7,8.4,1015.7,82,1.3,13.5,22.2,255.875
10.8,14.6,7.8,1016,81,1,11.1,18.3,217.08333333333334
9.7,14.7,6,1018.8,86,0.6,3.7,13,229.16666666666666
9.2,15.6,4.3,1016.7,83,0.5,3,7.6,298.4583333333333
7.6,15.6,4.3,1015.3,91,0.2,4.6,11.1,264.9166666666667
7.8,11,5,1016.9,91,0.3,8.7,13,404.5
13.9,24.6,5.3,1012.7,77,0.5,0.9,3.5,188.5
16.4,24.3,9.3,1011.3,75,0.8,3.1,11.1,164.75
14.8,24.3,10,1014.1,60,1.6,13.5,27.8,376.9166666666667
12.9,22.7,6.1,1013.4,61,1.6,9.4,22.2,0.0
13.1,21.2,6.5,1016.5,61,1.4,4.4,14.8,0.0
14.3,23.5,6.1,1015.9,64,1.4,3.5,14.8,57.0
14.3,23,7.2,1020.6,61,1.8,3,9.4,205.125
12.8,22.6,7,1019.4,72,1.1,6.1,14.8,214.125
15,22.4,8.2,1018.2,67,1.3,6.1,14.8,315.7916666666667
14.7,22.1,8.1,1017.1,65,1.4,8.3,22.2,322.25
16.6,24.1,8.6,1017,61,1.6,5.4,18.3,246.04166666666666
17.1,26,9.3,1016.7,67,1.1,3.1,9.4,200.91666666666666
21.1,26.2,14.6,1008.9,69,1.4,4.4,9.4,99.5
16.8,23.8,11.7,1011.6,70,1.4,8.5,16.5,143.91666666666666
15.8,23.8,9.3,1011.6,59,2.6,11.1,25.9,100.25
20.1,28.8,13.6,1009.2,67,1.6,3.5,9.4,165.0
18.2,22.2,15.6,1010,78,1.9,10.4,14.8,116.45833333333333
16,22.2,14,1010.9,95,1.6,6.9,16.5,143.0
16.6,23.8,10,1016.2,63,1.4,3.7,11.1,231.125
16.2,26.4,10.3,1017.2,75,2.1,5,11.1,218.66666666666666
15.6,26.4,9.6,1018.1,79,1.8,6.7,18.3,211.0
17.3,25.5,11.5,1012.3,72,1.4,5,16.5,52.208333333333336
16.6,22.6,12.1,1015.2,79,1.4,2.8,7.6,187.5
17.1,24.3,10.2,1018.7,61,1.8,6.7,14.8,130.16666666666666
16.5,22.3,11.3,1015.1,69,1.9,6.5,22.2,123.125
18,24.6,13.8,1013.3,78,1.1,1.3,5.4,120.91666666666667
17.3,20.7,14,1013.5,91,1,1.3,3.5,153.625
20.9,28.2,13.8,1015.3,52,1.9,11.3,18.3,130.33333333333334
20.8,27.8,15.1,1011.4,61,1.9,7.8,16.5,110.70833333333333
20.8,27.6,15.9,1011.8,59,2.7,8.3,22.2,138.5
21.5,29.8,13.2,1011.1,54,2.1,5.6,16.5,75.75
22.9,30.6,14.1,1010.6,58,1.8,6.9,18.3,146.54166666666666
24.1,33.1,15.8,1011.9,61,1.4,2.6,9.4,116.625
26.5,35.4,19.3,1001.6,52,1.6,1.7,7.6,80.04166666666667
26.1,33.3,19.8,1003,39,2.3,9.1,16.5,100.04166666666667
23.1,29.3,17.6,1007.9,50,1.6,8.9,24.1,109.45833333333333
25.4,33,19.1,1009.4,50,1.6,7,14.8,110.16666666666667
26.2,34.4,18.8,1009.1,47,2.4,9.3,25.9,108.20833333333333
27.4,35.6,19.1,1007.2,45,2.3,6.9,14.8,103.83333333333333
26.6,33.4,19.2,1008.3,41,2.1,10,22.2,74.29166666666667
