T,TM,Tm,SLP,H,VV,V,VM,PM 2.5
10.8,20.2,2.4,1022.1,84,0.6,3.1,13,255.875
13.7,22,4.6,1020.9,80,0.8,2,7.6,217.08333333333334
14.4,23,7.6,1018.5,82,1.3,2,7.6,229.16666666666666
15,19.1,11.6,1016.2,88,1.3,5.4,7.6,298.4583333333333
13.2,19,11,1015.3,99,0.6,5,7.6,264.9166666666667
10.4,14.6,7.8,1020.8,89,0.8,6.3,9.4,404.5
14.2,23.4,8,1012.5,85,1,7.8,13,188.5
12.6,19.9,8.6,1016.3,89,1,4.3,9.4,164.75
13.7,19.8,6.4,1016.3,80,1,4.4,9.4,376.9166666666667
11,17.7,7,1019.8,87,1,9.8,16.5,0.0
11.9,16.7,8.3,1018.5,89,0.6,5.2,11.1,0.0
13.6,20,9.2,1019.7,87,0.6,3.5,9.4,57.0
11.6,21.1,4.8,1017.1,80,1.6,2.6,5.4,202.91666666666666
14.7,22.6,6.9,1015,73,1.3,5.2,13,205.125
15.5,22.7,8.5,1012.1,79,1,4.3,9.4,214.125
12.9,20.2,7.2,1016,77,1.6,6.7,13,315.7916666666667
12.3,19.7,5.7,1019.6,82,1.4,3.3,13,322.25
12.1,19.9,6,1020.3,83,1.1,5.7,13,246.04166666666666
12.9,21.2,5.4,1018.5,74,2.1,4.4,13,200.91666666666666
12.7,20.4,6.1,1019.7,79,1.1,3.9,7.6,99.5
13.7,20.8,7,1021.5,78,1.4,4.6,14.8,143.91666666666666
13.9,22.2,6.6,1021.6,77,1.6,3.1,11.1,100.25
20,27.4,12.3,1015,67,1.8,12,18.3,165.0
18.8,27.8,13.7,1012.8,63,1.8,13.9,18.3,116.45833333333333
18.2,25.4,11.5,1013.5,61,1.9,14.1,18.3,143.0
19.1,26.9,8.1,1013.5,70,1.9,8.9,18.3,231.125
21.8,27.2,13.6,1013,68,2.1,12.4,22.2,218.66666666666666
16.8,27.5,14.2,1018.3,85,2.6,9.8,16.5,211.0
19.3,26.4,13,1013.6,79,1.4,3.1,9.4,52.208333333333336
20.3,27.2,12.7,1014.2,73,1.4,4.3,14.8,187.5
20.7,27.4,13,1014.1,82,1.8,4.6,9.4,130.16666666666666
21.9,27.6,14.4,1012.9,77,1.9,3.1,7.6,120.91666666666667
21.2,27.8,14.6,1012.4,81,1.9,1.3,5.4,153.625
21.1,28.6,14.3,1010.7,72,1.9,3.7,11.1,119.41666666666667
17.3,22.4,13,1015.1,91,1.9,3.9,9.4,110.70833333333333
18,24.4,11.1,1015.8,79,1.9,5,11.1,138.5
