T,TM,Tm,SLP,H,VV,V,VM,PM 2.5
16.3,18.4,11.3,1015.3,85,1.1,2.2,7.6,172.75
14.6,19.7,11,1016.6,89,0.2,2.4,11.1,146.79166666666666
13.4,20.6,7.9,1015.3,75,0.6,4.4,14.8,113.875
14.6,17.7,12.5,1018.8,88,1.1,9.1,14.8,227.0
13,18,9,1020.2,83,0.8,7.4,11.1,231.25
11.3,17.6,7,1020.3,73,1,6.7,14.8,272.125
12.5,19.8,5.5,1019,61,1.3,8.1,14.8,228.79166666666666
14.5,22.6,6.7,1015.4,62,1.3,6.3,18.3,200.875
17.1,25.6,9.5,1011,68,1.6,8.5,18.3,214.04166666666666
10.6,17.7,4.8,1014.6,83,0.8,3.5,11.1,217.25
9.2,17.7,4.5,1017.8,88,0.5,8.7,16.5,212.45833333333334
10.9,18.4,5.4,1017,70,1.4,7.6,25.9,202.66666666666666
14.6,21.1,9,1015.8,65,1.6,8.1,14.8,138.79166666666666
15.6,21.1,9.3,1017.2,63,1.8,11.1,25.9,153.08333333333334
11.6,21,7,1016.7,74,1.3,5.6,18.3,159.70833333333334
12.6,21.6,4.4,1019.8,59,1.4,4.8,14.8,151.875
13.9,22.1,7.9,1019.9,55,1.6,10,22.2,224.79166666666666
14.7,22.8,8.4,1018.7,52,1.4,8.3,22.2,177.625
15.7,23.6,10.6,1017.5,57,1.6,3.5,11.1,149.625
13.4,22,7.6,1014.5,65,1.8,9.1,14.8,161.16666666666666
13.4,20.5,9.1,1014.9,40,2.9,9.4,18.3,136.75
11.9,19.3,4,1017.1,49,2.3,13.1,25.9,50.916666666666664
17.2,26.1,12.6,1012.5,65,1.4,5.7,18.3,120.20833333333333
16.8,23.6,11.7,1015.6,64,0.8,5.4,16.5,137.125
15.5,21.7,11.3,1015.1,42,2.4,7.8,14.8,197.08333333333334
17.3,24.6,10.9,1014.8,49,2.3,12.2,25.9,166.375
17.7,25.5,11.4,1011.2,54,1.4,7.8,18.3,126.58333333333333
20.2,29.3,11.1,1008.5,58,1.4,3.7,14.8,94.91666666666667
16.7,26.6,10.5,1013.3,42,2.4,10.6,18.3,133.95833333333334
17.1,23.8,9.7,1012,45,2.9,15.6,27.8,69.25
18.1,25,10.3,1009.4,46,1.9,15.9,27.8,79.29166666666667
19.8,29.4,10.6,1007.9,57,2.4,3.7,14.8,20.416666666666668
20.2,29.5,12.2,1006.8,52,2.4,5.6,14.8,61.125
21.2,29.2,12.4,1006.6,51,2.1,11.1,22.2,87.79166666666667
20.9,29.1,13.1,1004.9,49,2.6,8.3,22.2,34.916666666666664
19.9,29,12.7,1006.1,55,1.9,9.4,14.8,47.5
18.6,25,11.8,1010.2,50,1.9,8.1,18.3,81.29166666666667
20.2,30.2,14.8,1014.9,58,2.6,7.8,14.8,56.333333333333336
19.5,27.2,13.1,1015.8,52,1.6,11.7,22.2,20.291666666666668
20.8,27.8,14,1013.3,50,2.4,10.6,18.3,34.458333333333336
28.3,37,19.4,1008.5,54,1.8,7,16.5,83.83333333333333
26.1,34.5,19.2,1008.7,44,1.1,10.2,24.1,89.375
19.9,34.5,13.5,1012.1,35,1.8,16.7,27.8,65.83333333333333
25,33.4,17.3,1010.9,44,2.4,11.5,25.9,109.75
26.7,36.2,18.2,1010,45,1.9,5.6,14.8,42.916666666666664
26.4,36.2,19.2,1011.5,46,1.8,5,11.1,84.41666666666667
27.9,36.5,18.6,1010.3,49,2.4,3.7,9.4,81.20833333333333
28.9,37.6,21,1009.9,47,2.3,4.3,11.1,52.291666666666664
29.6,38.3,21.4,1010.2,45,2.1,3.1,11.1,28.458333333333332
30.9,38.7,24,1009.7,45,1.9,6.5,18.3,23.666666666666668
29.6,37.6,22,1004.8,46,1.9,5.7,13,75.16666666666667
29.3,36.6,22.1,1005.2,38,2.7,8.9,25.9,53.125
30.5,38.5,23.1,1005.1,38,2.1,6.5,22.2,76.25
25.3,29.7,23.2,1007.3,53,1.9,11.1,33.5,52.625
23.8,29.7,20.4,1009.8,65,1.6,3.5,7.6,51.375
24.8,31.3,19,1009.6,63,1.9,1.9,5.4,45.5
30.4,36.7,21.7,1005.9,41,1.9,15.6,48.2,92.91666666666667
30.3,37.5,24.8,1008.4,41,1.9,17.6,40.7,80.20833333333333
29,34.8,23.6,1008.2,40,2.6,16.5,29.4,76.66666666666667
28.8,35.6,21.4,1006.2,45,2.3,6.7,18.3,31.833333333333332
25.9,35.6,21.6,1007.5,57,1.9,10.2,40.7,47.666666666666664
27.8,34.7,19.8,1005.2,46,1.8,11.3,25.9,38.25
28.8,36,21,1004,37,2.6,5.7,11.1,56.25
29.1,37.7,20.5,1004.9,32,2.6,3.7,14.8,103.41666666666667
29.8,37.6,21.4,1002.9,34,2.6,5.7,14.8,76.5
32.8,39.8,24.6,1002.5,38,2.4,5.7,14.8,86.375
32.7,40.6,27.2,1003.4,37,2.3,13,22.2,77.70833333333333
33.6,40.8,28.2,1004.5,35,2.6,10.6,22.2,73.41666666666667
31.7,40.3,22,1003,37,2.3,13.9,20.6,55.083333333333336
29.8,37.6,26.4,1002.9,37,2.3,16.5,24.1,67.45833333333333
33.1,39.8,26.4,1002.9,29,2.1,6.9,25.9,75.04166666666667
34.9,40.8,29,1003.3,27,1.9,18.5,25.9,61.5
34.2,41.4,25.4,1001.9,33,1.9,5.7,14.8,68.91666666666667
34.6,42.3,27.7,1001.1,30,2.3,8.5,29.4,42.125
37.2,44,27.8,997.3,22,1.9,13.9,24.1,63.916666666666664
35.8,44,32.5,999.3,28,1.9,14.8,33.5,63.666666666666664
35.9,41.6,30.4,999.4,23,1.9,17.2,33.5,139.125
39.2,45.4,33.4,994.9,25,1.9,16.9,27.8,25.458333333333332
38.4,44.4,34.2,995.6,29,1.9,15,27.8,20.75
37.4,44.4,33,995.3,35,1.9,24.3,40.7,40.5
34.3,44.2,29.7,994.7,43,1.9,18.7,25.9,70.08333333333333
33,38.7,26.9,998.6,43,1.9,5.2,16.5,63.0
33.9,39.3,27,999.3,39,1.9,10,16.5,73.83333333333333
35.4,40.6,29.1,997.7,33,1.9,14.6,27.8,29.5
37.7,43.2,30.4,997.9,30,2.6,12.8,18.3,54.958333333333336
37.1,43.2,31.8,997.6,26,2.3,13,25.9,77.75
38.2,43.5,31.5,995.7,29,1.9,20.7,25.9,82.0
35.2,41.5,28.4,994,44,1.9,5.4,14.8,32.583333333333336
37.2,42.8,29.7,992.9,29,1.9,17.4,48.2,28.375
38.5,43,33.6,993.2,30,1.9,23.5,37,28.125
37.2,42.3,31.2,993.9,32,1.9,16.3,29.4,51.041666666666664
35.8,42.3,31.2,994.5,39,1.9,16.5,29.4,40.0
35.6,40.6,31,996.2,43,1.9,14.3,27.8,52.458333333333336
37.8,43.5,31.4,994.1,36,1.9,10.7,25.9,37.625
37.1,41.8,32.3,994.6,52,2.3,8.9,14.8,34.375
34.5,41.8,31.4,993.2,60,1.9,15,25.9,71.29166666666667
27.2,30.3,23.2,995.9,87,1.6,6.7,11.1,45.666666666666664
30.1,33.9,26.4,997,72,1.9,5.7,20.6,40.625
30.6,33.9,27.8,998.1,76,1.9,3.1,9.4,28.25
29.8,36.2,26.4,997.5,78,1.9,7.2,18.3,30.708333333333332
29.9,33,25.7,998,74,1.9,3.3,11.1,10.208333333333334
32,37,28,997.9,65,1.9,7.8,18.3,0.0
35.8,40.5,32.2,993.3,49,1.9,13,29.4,19.416666666666668
33.2,40.5,29.6,997.3,63,1.9,9.3,16.5,8.416666666666666
32.1,36.7,28.6,999.8,69,1.9,9.8,11.1,20.916666666666668
30.7,38.6,27.9,996.9,74,1.9,10.9,14.8,0.0
