T,TM,Tm,SLP,H,VV,V,VM,PM 2.5
15.6,23,9,1016.4,87,1.3,2.4,11.1,172.75
17.4,24,9.3,1018.9,81,1.3,2.2,9.4,146.79166666666666
16.7,24.3,9.5,1018,82,1,4.1,13,113.875
14.7,24.4,13.5,1012.2,96,1,10,22.2,227.0
15.4,20,10.2,1015.5,84,1.1,2.2,7.6,231.25
14.1,20.2,8.6,1015.8,82,1.1,5,13,272.125
12.1,19,4.3,1017.8,70,1.4,6.1,14.8,228.79166666666666
12.6,19.5,3.2,1019.2,78,1.3,5.2,11.1,200.875
16.4,24,8.6,1017.3,73,1.3,3.3,7.6,214.04166666666666
14,21,6.4,1023.1,76,1.6,10.2,16.5,217.25
14.7,20.8,7,1021.4,72,1,6.1,14.8,202.66666666666666
19.8,25.6,12.5,1018.2,74,1.1,7.8,24.1,138.79166666666666
16.2,25.1,14.5,1017.1,92,0.8,8,22.2,153.08333333333334
16.1,20,13.2,1019.1,80,1.8,11.9,18.3,159.70833333333334
17.3,23.2,9.8,1016,71,1.4,4.6,16.5,151.875
16.2,23.4,9.4,1017.9,75,1.3,8,16.5,224.79166666666666
17,24,8.6,1019.2,66,1.6,2.8,7.6,177.625
17.9,25,9.5,1017.3,68,1.6,3.3,11.1,149.625
16.1,23.5,8.6,1015.9,62,2.9,10.2,18.3,161.16666666666666
16.8,24,9,1015.2,63,1.8,5.7,18.3,136.75
16.7,24.2,9.4,1016.4,66,1.8,10.6,27.8,50.916666666666664
18.2,25,8.9,1021.9,59,2.3,7.6,18.3,120.20833333333333
18.6,29,10.2,1021.3,59,1.8,10.2,18.3,137.125
19.7,27,9.8,1020.3,58,2.4,8.7,32.4,197.08333333333334
24.1,31,15.6,1011.1,57,3.1,7.2,14.8,166.375
24.8,32,16.4,1005,56,2.4,6.3,14.8,126.58333333333333
20.9,32.4,15.7,1008.2,74,1.9,12,24.1,94.91666666666667
21.4,28,13.5,1013.6,47,3.1,18.5,35.2,133.95833333333334
20.4,28.1,12.4,1012.5,55,2.6,16.1,29.4,69.25
21.2,29,11,1014.2,52,3.2,8,16.5,79.29166666666667
24.7,32.5,18,1012.1,49,2.6,5,11.1,31.625
22.8,30.5,16.5,1011.1,59,1.9,4.4,11.1,20.416666666666668
21.3,28.5,12.5,1010.6,41,3.1,8.3,22.2,61.125
23.4,30,12,1008.3,41,2.6,5.9,14.8,49.583333333333336
